title,price,description,in_stock,image_link
Смартфон Apple iPhone 13 4/128GB Starlight,81 890 сом,"Операционная система: iOS 15  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 128 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3124_4_1.jpg
Смартфон Vivo Y12s Phantom Black,11 890 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 32 GB  / Основная камера: 13 Mpx + 2 Mpx  / Фронтальная камера: 8 Мп  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2678_0_6.png
Смартфон Xiaomi Redmi Note 11 4/64GB Graphite Gray,18 190 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,4″ - 16,25 см  / Объем встроенной памяти: 64 GB  / Основная камера: 50 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 13 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3391_4_1.jpg
Смартфон Xiaomi Redmi 10 6/128GB Sea Blue,21 790 сом,"Операционная система: Android 11  / Количество SIM-карт: 2  / Диагональ дисплея: 6,55″ - 16,64 см  / Объем встроенной памяти: 128 GB  / Основная камера: 50 Mpx + 8 Mpx + 2 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_3119_8_1.jpg
Смартфон Apple iPhone SE 64GB 2020 (PRODUCT)RED,56 390 сом,"Операционная система: iOS 13  / Количество SIM-карт: 1  / Диагональ дисплея: 4,7″ - 11,93 см  / Объем встроенной памяти: 64 GB  / Основная камера: 12 Mpx  / Фронтальная камера: 7 Mpx  / NFC: Да ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2388_0_1.jpg
Смартфон Vivo Y20 Obsidian Black,15 490 сом,"Операционная система: Android 10  / Количество SIM-карт: 2  / Диагональ дисплея: 6,5″ - 16,51 см  / Объем встроенной памяти: 64 GB  / Основная камера: 13 Mpx + 2Mpx + 2Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_2776_6_1.jpg
Смартфон Apple iPhone 13 4/128GB Pink,81 890 сом,"Операционная система: iOS 15  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 128 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3125_4_1.jpg
Смартфон HUAWEI P Smart 2019 Aurora Blue,13 990 сом,"Операционная система: Android 9.0  / Количество SIM-карт: 2  / Диагональ дисплея: 6,21″ - 15,77 см  / Объем встроенной памяти: 32 GB  / Основная камера: 13 Mpx + 2 Mpx  / Фронтальная камера: 12 Mpx + 12 Mpx + 16 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_1800_0_1.jpg
Смартфон HUAWEI P smart 2021 Midnight Black,21 790 сом,"Количество SIM-карт: 2  / Диагональ дисплея: 6,67″ - 16,94 см  / Объем встроенной памяти: 128 GB  / Основная камера: 48 Мп + 8 Мп + 2 Мп + 2 Мп  / Фронтальная камера: 8 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_2774_5_1.jpg
Смартфон Vivo V21 8/128GB Sunset Dazzle,29 090 сом,"Операционная система: Funtouch OS 11.1  / Количество SIM-карт: 2  / Диагональ дисплея: 6,44″ - 16,35 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 8 Mpx + 2 Mpx  / Фронтальная камера: 44 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3021_4_1.jpg
Смартфон Apple iPhone 13 4/256GB Midnight,94 590 сом,"Операционная система: iOS 15  / Количество SIM-карт: 1  / Диагональ дисплея: 6,1″ - 15,49 см  / Объем встроенной памяти: 256 GB  / Основная камера: 12 Mpx + 12 Mpx  / Фронтальная камера: 12 Mpx  / NFC: Да ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3128_9_1.jpg
Смартфон Vivo V21e 8/128GB Diamond Flare,27 290 сом,"Операционная система: Funtouch OS 11.1  / Количество SIM-карт: 2  / Диагональ дисплея: 6,44″ - 16,35 см  / Объем встроенной памяти: 128 GB  / Основная камера: 64 Mpx + 8 Mpx + 2 Mpx  / Фронтальная камера: 44 Mpx  / NFC: Нет ",На витрине,https://object.pscloud.io/cms/cms/Photo/img_0_77_3024_0_1.jpg
Смартфон HUAWEI Y7 2019 32GB Aurora Blue,13 790 сом,"Операционная система: Android 8.1 Oreo  / Количество SIM-карт: 2  / Диагональ дисплея: 6,26″ - 15,9 см  / Объем встроенной памяти: 32 GB  / Основная камера: 13 Mpx + 2 Mpx  / Фронтальная камера: 8 Mpx  / NFC: Нет ",Есть в наличии,https://object.pscloud.io/cms/cms/Photo/img_0_77_1838_0.jpg
